1. ORT, 9.8
#A majestic lion companion, as a familiar they are a lion who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.
65. Tiger, 1.3
#A ferocious tiger companion, as a familiar they are a tiger who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.
66. Snow Tiger, 1.6
#A ferocious snow tiger companion, as a familiar they are a snow tiger who has excellent genetics and near human intellect, and as rare snow tigers they are considerably larger than normal lions and can be ridden. By default they are female.
67. Brown Bear, 1.0
#A regular big old brown bear companion, as a familiar they are a bear who has excellent genetics and near human intellect, they are strong enough to shrug off most small firearms and crush a human being like an apple. By default they are female.
68. Undead Army, 4.2
#Your very own Undead Army at your command, the army gets larger as you get stronger and whenever a troop perishes they come back to life as long as you expend your magical power. The army starts with 30 skeleton warriors, 20 skeleton archers, 5 Skeleton Horse Riders and 5 Skeleton Mages, the number and quality of undead increase as you get stronger.
69. Cottonmouth, 0.6
#A smart cottonmouth snake companion, there is not much else about it, they are at the peak of what a cottonmouth snake could be and are smarter than average but that's about it.
70. Goblin, 1.2
#(Character)Loathsome little green humanoid creatures the size of children, they are very vicious and cruel in nature, being able to use weapons and basic tactics. At least this goblin is smarter and more self-aware, they can also breed with any humanoid race. The default gender is female.
71. Wyvern, 2.3
#A large sky-dwelling reptile with fire breath, they are often referred to as lesser dragons, a wyvern can easily swallow a man whole and roast an entire battalion with its fire breath. This Wyvern is female and can produce eggs to reproduce.
72. Dire Wolf, 1.5
#A large vicious pre-historic wolf the size of a man, they are very strong with tough and sharp teeth and claws, they are also big enough to be used as a mount. By default, they are female and can reproduce.
73. Hellhound, 2.1
#A large vicious hound hailing from the underworld, they are around the size of humans with maws filled with fire that they can breathe out, they are also strong enough to tear a grown man in half with ease. By default, they are female and can reproduce.
74. Cerberus, 3.2
#(Character)Helltaker - Definitely not the kind of hellhound you expected. Cerberus, known as the triple demon is a singular demon girl with hellhound characteristics possessing three bodies and one soul, she is physically strong enough to tear a grown man in half and she is surprisingly competent at office work and menial tasks.
75. Crow, 0.8
#A very smart and loyal crow companion with intelligence on the level of a human, she can spy on people and relay the information to her master.
76. Ditto, 3.8
#Pokemon - An amorphous purple blob with a dopey face, Ditto has the ability to transform into any creature they can see and adopt their abilities scaled to their own level except their durability. They also do not take on the memories and intelligence of what they transform into. They are also genderless and can breed with any race.
77. Desert Elemental, 3.6
#Calamity Mod - A pair of sister elementals of from born from the shifting sands of the desert. One sister can create and manipulate sand to attack and defend while the other can cast healing magic.
78. Storm Elemental, 3.3
#Calamity Mod - A solitary elemental formed in the rainy skies. As an elemental born of the sky, she can conjure and exert control over wind, clouds and lightning.
79. Cavern Elemental, 3.1
#Calamity Mod - An elemental born in the harsh and desolate caverns, he is physically mighty, being able to exert control over rock and ground. He can split the ground in two with his axe. He is great at defence.
80. Brimstone Elemental, 4.4
#Calamity Mod - A solitary elemental born in the Brimstone Crag, made out of burnt tortured souls she can conjure and control Brimstone Flames that can turn even souls into ash.
81. Anahita, 4.1
#Calamity Mod - Anahita is an elemental born of the clear oceans, she can sing like a siren to enthral people, conjure mists and spears of water and ice and wield her glaive as a weapon.
82. Clothes Melting Slime, 1.8
#A grey amorphous ever-shifting slime that is capable of quickly melting all clothing, strangely enough, it doesn't seem to melt common clothes materials but instead, its acid seems to just conceptually melt anything classified as clothing. The more clothing it melts, the larger and stronger this slime gets.
83. Shark, 0.4
#A regular old shark, only useful in water but it is a pretty healthy and strong shark with above average intelligence.
84. Schrodinger's cat, 1.7
#A regular-looking cat, but in reality it is the Schrodinger's cat, being able to teleport freely as long as it is not being observed and being immortal as it comes back to whenever its corpse is not observed.
85. Aegislash, 3.2
#Pokemon - A flying ancient sentient sword and shield combo, Aegilash is remarkably fast and strong, being able to cleave an armoured knight in half with ease, they are also capable of blocking incredibly strong attacks, as well as being able to use dark magic. Their master can wield Aegislash without incurring any problems.
86. Poltergeist, 2.7
#A ghost that is capable of intervening in the material world with their psychic powers, they can throw around furniture and weapons to cause harm and are immune to attacks that cannot harm souls. You can feed them your energy to make them stronger.
87. Wraith, 2.1
#A lesser spirit, while a wraith has little in the form of combat ability they are very hard to detect, so they are able to serve as effective surveillance and scouting as they will reform even if killed.
88. Lupus Regina Beta, 3.7
#(Character)Overlord - A werewolf cleric maid who has a very willful and cheery yet sadistic personality. As a werewolf she has considerable physical ability and thanks to their specialization as a cleric she is capable of casting healing and recovery magic as well as lesser forms of other magic. She is also a very skilled maid.
89. Solution Epsilon, 4.1
#(Character)Overlord - A slime assassin maid who has a gentle caring sister personality covering for a sinister and sadistic demeanor. Solution is a greater slime who is greatly resistant to physical attacks and has vast amounts of space contained in her acidic body, being able to use it as storage or stomach as she is capable of controlling what she melts. She can also emit poison from her body. In addition, she is a very skilled maid and assassin.
90. Entoma Zeta, 3.2
#(Character)Overlord - A arachnid ninja bug user maid who while acting childish and cute has a ravenous appetite for flesh. She is capable of summoning a variety of supernatural insects to aid her in combat alongside her weapon mastery and supernaturally strong body. In addition, she is a... skilled maid.
91. Ramiel, 5.9
#Evangelion - A gigantic flying blue octahedron that is capable of freely shapeshifting its body in impossible ways. Ramiel has an incredibly durable E.T Barrier around itself that it can shape at will, it can also unleash particle beams of incredible power that can melt city blocks in seconds with incredible accuracy.  They can also shrink in size to not be so unwieldy, though doing so also decreases their power.
92. Yasaka, 7.0
#(Character)DxD - A nine-tailed Kyuubi Yokai on par with gods, Yasaka possesses incredible mastery over Senjutsu and magic, allowing her to draw magical power from the very earth to fuel herself and her immense might, in her true form she is more than a match for most lesser gods.
93. Pandora's Actor, 5.6
#(Character)Overlord - A greater doppelganger of great power and intelligence, Pandora's actor is capable of taking on the form of anyone he is familiar with and using their abilities to great effect although to a lesser extent than that of the original. He also possesses genius levels of intellect and acting skills that allow him to perfectly imitate people.
94. The thing, 4.2
#John Carpenter's The Thing - An extremely versatile extraterrestrial creature that assimilates itself with other organisms to hide and reproduce. It is capable of shapeshifting the host's body without seemingly causing any damage to it. The thing is only as smart as the creatures it assimilates.
95.  Black Nomu, 5.5
#MHA - A near mindless bird-like mutant who was genetically engineered and designed as an incredibly powerful punching bag. Nomu possesses incredible physical prowess and durability alongside being able to absorb physical attacks and regenerate at incredible speeds. But it is also dumb as a brick, making it difficult to rely on it acting independently without direct orders.
96. Slime, 2.5
#A classic RPG slime, amorphous large blue blob that is immune to physical damage, can spit out globs of acid and corrode things with its body. The more you feed this slime biological matter, the larger and stronger it will grow. It can even evolve if fed special foods.
97. Divine Dogs, 1.8
#Jujutsu Kaisen - A pair of twin wolves capable of tearing apart targets with their claws and fangs. Each of the dogs can detect hostility and negative emotions and notify their master when they feel hostility directed toward them. Their tracking abilities allow them to find lost allies and locations as well. The power of shikigami with your own energy levels.
98. Nue, 2.4
#Jujutsu Kaisen - A winged shikigami armed with great speed and the ability to produce electricity. It can support its master by carrying them while flying to increase their mobility, and can attack with its heavy wings charged with electricity, shocking anyone it hits and leaving them temporarily paralyzed. The power of shikigami with your own energy levels.
99. Gama, 2.0
#Jujutsu Kaisen - A large frog shikigami that can support its master using its long tongue. Its tongue can be used to ensnare its master's target and is strong enough to throw and slam them into objects. The speed of the Toad's tongue is useful for helping its master or an ally out of harm's way. Its large size allows it to carry targets in its mouth for transportation or restraint.
100. Orochi, 2.2
#Jujutsu Kaisen - A giant snake shikigami that can quickly attack and ensnare its master's targets. It can burrow into and travel through shadows allowing it to engage in surprise attacks to ensnare or bite targets.
101. Max Elephant, 2.4
#Jujutsu Kaisen - An elephant shikigami that can conjure and spew large volumes of water from its trunk. It can also be used to crush targets with its weight by summing it above targets.
102. Rabbit Escape, 3.7
#Jujutsu Kaisen - A massive swarm of rabbit shikigami that serves as a distraction for the user. Upon summoning, dozens to hundreds and eve thousands of rabbits fill the area to distract the opponent, allowing the summoner to escape danger by using the chaos to their advantage. The rabbits are also individually strong enough to break bones.
103. Round Deer, 4.2
#Jujutsu Kaisen -  A towering deer shikigami that constantly emits a healing aura of positive energy that heals allies in range, this aura also damages unholy beings in range. The deer can also focus its aura to heal a specific target faster. This aura can even recover limbs.
104. Mahoraga, 7.7
#Jujutsu Kaisen - The most powerful Shikigami of the Ten Shadows. Mahoraga is armed with the sword of extermination that deals severe damage to unholy beings and has great physical stats. But its real strength is the ability to adapt to any and all phenomena it encounters, offensively or defensively, they can also share these adaptations with the user. Adaptations may fade over time, but the knowledge learned and ways to utilize powers taught by adaptation do not.
105. Power, 5.8
#Chainsaw Man - Power is the Blood Devil, granting her the power to control all blood in her sensory range as well as possessing great physical stats and incredible regenerative ability. In addition, the more she is feared, the more power she has. The stronger a target is in relation to her, the harder it is for her to manipulate their blood.
106. Bat Devil, 3.0
#Chainsaw Man - A building-sized grotesque humanoid bat, as a devil the Bat Devil can heal from injuries by consuming blood, in addition to their superhuman physical stats, they can fly and release building-shattering sonic booms.
107. Pochita, 6.6
#Chainsaw Man - The Chainsaw Devil, the one that devils fear the most. As a devil Pochita has extreme regenerative abilities, being able to go from a puddle to full health in less than a second by simply pulling his cord. Pochita also has extreme physical abilities in addition to incomparable speed.
108. Igris, 4.5
#Solo Levelling - One of the greatest warriors under the Shadow Monarch's command. Igris possess excellent swordsmanship and unarmed combat capabilities complimented by his mighty physical prowess and telekinesis. As a shadow familiar Igris is revived after 24 hours if he is killed
109. Iron, 3.7
#Solo Levelling - One of the toughest warriors under the Shadow Monarch's command. Iron is rather simple, he possesses incredible durability and strength, him to crush enemies and his master. As a shadow familiar Iron is revived after 24 hours if he is killed
110. Tusk, 4.2
#Solo Levelling - One of the greatest mages under the Shadow Monarch's command. Tusk has great physical prowess as a former high orc but his true power lies in his ability to cast a myriad of shamanic spells to inflict damage, support or buff. As a shadow familiar Tusk is revived after 24 hours if he is killed
111. Bladewolf, 5.8
#(Tech)Metal Gear - Blade Wolf, or officially designated as IF Prototype LQ-84i is a wolf-like quadrupedal Unmanned Gear. In addition to its artificial intelligence and interfacing abilities such as hacking and manipulating code, Blade Wolf is armed with an entire arsenal of weapons such as superheated knives, high-frequency blade chainsaws, railguns, machineguns and etc. that it can use with extreme efficiency. It is incredibly smart.
112. Black Knife Tiche, 3.5
#Elden Ring - A Blac Knife Assasin who helped assassinate Godwny the Golden during the night of the Black Knives. In addition to being an incredibly skilled assassin, Tiche's knife is imbued with a lesser form of destined death, making the wounds she inflicts be unable to be healed and ignoring durability to an extent.
113. Mr. Sir Ceo, 2.7
#An extremely skilled and driven man with expertise in areas such as politics, management, negotiations, corporatism, and business. If you let him loose in the world, he will start climbing the corporate ladder with ease and build you your own business and manage it for you.
114. Puck, 5.0
#Re: Zero - The Great Spirit of Fire, a very misleading name for a spirit that focuses on Ice manipulation. They are capable of manipulating fire and ice as well as heat in general. He is also capable of minor healing, able to treat lesser wounds but not major ones, emotion reading and general magic. He can conjure ice constructs and freeze over entire towns, he can also bring temperatures down close to sub-zero but needs to recharge his mana from either the summoner or slowly from the environment.
115. Beatrice, 5.7
#(Character)Re: Zero - A powerful Great Spirit whose power resides over Darkness and Space Magic. She is capable of casting a variety of spells that manipulate Gravity, Space and Darkness. But she can only draw mana from her summoner, but with enough mana supplied, she could even create a black hole.
116. Shenron, 6.9
#Dragon Ball - A legendary magical dragon capable of granting its user a wish, Shenron can only be manifested once a year, allowing his user to ask for a wish that it will grant as long as it is within his power.
117. Medusa Gorgon,4.4
#(Character)Soul Eater - Medusa is a natural-born Witch who is capable of taking over bodies and using unique vector magic in tandem with her hand-to-hand combat skills. She is also somewhat of a genius when it comes to matters of soul and chemistry, being able to craft her unique magical agents, with the most notable creation being Black Blood.
118. Nyotengu,3.9
#(Character)Dead or Alive - A female tengu who is very well-versed in martial arts and seduction. She is capable of summoning winds and storms with her fan like other tengu as well as flying and possessing enhanced strength. 
119. Kon,3.7
#Chainsaw Man - Kon is the Fox Devil who embodies the fear of foxes. She is a gigantic monstrous fox, who, thanks to being a devil is capable of making contracts with people and recovering her health by consuming blood. You can partially summon her body parts as attacks or simply summon her outright. Those who make contracts with her can also summon her.
120. 20% Gun Devil,6.9
#Chainsaw Man - A fragment of one of the strongest Devils, the Gun Devil is a skyscraper-sized Demon made of guns and human body parts. It has the ability to instantly shoot the heart of any living being within 1000 meters of it and can use its massive oversized guns to cause mass destruction. The gun devil is also capable of moving at absurd speeds, being able to circle the globe in minutes. As a devil, they are capable of making contracts with people and recovering their health by consuming blood.
121. Senko,3.2
#(Character)Sewayaki Kitsune Senko-san - Senko is a single-tail kitsune who excels at housekeeping and caretaking. Although she is capable of offensive abilities such as manipulating foxfire, minor telekinesis, disguise and barriers she specializes in performing tasks such as acting like a wife or a mother.
122. Yozora,4.1
#(Character)Sewayaki Kitsune Senko-san - A four-tailed Kitsune with immense wisdom, Yozora is good at managing people and caretaking. But as a four-tailed kitsune, she has considerable magical power that she can use to create foxfire, telekinesis, change perception, and create barriers and portals.
123. Kurama,6.1
#Naruto - One of the Tailed Beasts, as the nine tails, Kurama is a giant demonic fox who towers over most buildings. Kurama has immense physical and magical strength, being able to casually demolish buildings and release beast bombs that can level cities. He also has Pyrokinetic and Aerokinetic abilities, although not very precise as he is an engine of destruction. As a tailed beast, he is immortal and will revive upon death, he can also fuse with a person to grant them his abilities.
124. Shukaku,5.9
